,date,time,bid,bs,ask,as
9475,2023-01-02,1672673758.0,1219.1,24.9637567,1219.11,10.8341501
9476,2023-01-02,1672673759.0,1219.1,24.9637567,1219.11,5.8341501
9477,2023-01-02,1672673760.0,1219.1,17.8989043,1219.11,10.8341501
9478,2023-01-02,1672673761.0,1219.1,17.8989043,1219.11,12.3925994
9479,2023-01-02,1672673762.0,1219.1,17.8989043,1219.11,12.3925994
9480,2023-01-02,1672673763.0,1219.1,17.8989043,1219.11,12.3925994
9481,2023-01-02,1672673764.0,1219.1,22.8989043,1219.11,10.8341501
9482,2023-01-02,1672673765.0,1219.1,22.8989043,1219.11,10.8341501
9483,2023-01-02,1672673766.0,1219.1,22.8989043,1219.11,10.8341501
9484,2023-01-02,1672673767.0,1219.1,22.8989043,1219.11,10.8341501
9485,2023-01-02,1672673768.0,1219.1,21.7471981,1219.11,10.8341501
9486,2023-01-02,1672673769.0,1219.1,18.3619001,1219.11,10.8341501
9487,2023-01-02,1672673770.0,1219.1,18.3619001,1219.11,10.8341501
9488,2023-01-02,1672673771.0,1219.1,25.4267525,1219.11,2.6564041
9489,2023-01-02,1672673772.0,1219.1,27.7185375,1219.11,2.6564041
9490,2023-01-02,1672673773.0,1219.1,27.7185375,1219.11,2.6314381
9491,2023-01-02,1672673774.0,1219.1,27.7185375,1219.11,2.6304561
9492,2023-01-02,1672673775.0,1219.1,27.7185375,1219.11,2.6304561
9493,2023-01-02,1672673776.0,1219.1,27.7185375,1219.11,2.6304561
9494,2023-01-02,1672673777.0,1219.1,27.7185375,1219.11,2.6304561
9495,2023-01-02,1672673778.0,1219.1,27.7185375,1219.11,2.6304561
9496,2023-01-02,1672673779.0,1219.1,34.5145141,1219.11,2.6305907
9497,2023-01-02,1672673780.0,1219.1,34.5145141,1219.11,2.6305907
9498,2023-01-02,1672673781.0,1219.1,34.5145141,1219.11,2.6305907
9499,2023-01-02,1672673782.0,1219.1,34.5145141,1219.11,2.6305907
9500,2023-01-02,1672673783.0,1219.1,34.5145141,1219.11,2.6305907
9501,2023-01-02,1672673784.0,1219.1,34.5145141,1219.11,2.6658944
9502,2023-01-02,1672673785.0,1219.1,34.5145141,1219.11,2.6658944
9503,2023-01-02,1672673786.0,1219.1,34.5145141,1219.11,2.6658944
9504,2023-01-02,1672673787.0,1219.1,34.5145141,1219.11,2.6658944
9505,2023-01-02,1672673788.0,1219.19,1.589908,1219.39,3.1267866
9506,2023-01-02,1672673789.0,1219.21,4.9009659,1219.22,8.8852359
9507,2023-01-02,1672673790.0,1219.21,4.8913996,1219.22,12.0316734
9508,2023-01-02,1672673791.0,1219.21,4.9295148,1219.22,12.0316734
9509,2023-01-02,1672673792.0,1219.21,4.9295148,1219.22,12.0316734
9510,2023-01-02,1672673793.0,1219.21,4.9295148,1219.22,8.8852359
9511,2023-01-02,1672673794.0,1219.21,4.5899873,1219.22,12.5867223
9512,2023-01-02,1672673795.0,1219.21,4.5899873,1219.22,12.5867223
9513,2023-01-02,1672673796.0,1219.21,9.5899873,1219.22,12.5867223
9514,2023-01-02,1672673797.0,1219.21,9.5899873,1219.22,12.5867223
9515,2023-01-02,1672673798.0,1219.21,9.5899873,1219.22,12.5867223
9516,2023-01-02,1672673799.0,1219.21,9.5899873,1219.22,12.5867223
9517,2023-01-02,1672673800.0,1219.21,9.5899873,1219.22,12.5867223
9518,2023-01-02,1672673801.0,1219.21,9.5899873,1219.22,12.5867223
9519,2023-01-02,1672673802.0,1219.21,9.5899873,1219.22,12.5867223
9520,2023-01-02,1672673803.0,1219.21,9.5899873,1219.22,12.5867223
9521,2023-01-02,1672673804.0,1219.21,9.5899873,1219.22,12.5867223
9522,2023-01-02,1672673805.0,1219.21,11.6548397,1219.22,11.028273
9523,2023-01-02,1672673806.0,1219.21,11.6548397,1219.22,2.3267866
9524,2023-01-02,1672673807.0,1219.21,11.6548397,1219.22,8.5579062
9525,2023-01-02,1672673808.0,1219.21,11.6548397,1219.22,2.3267866
9526,2023-01-02,1672673809.0,1219.52,30.4892702,1219.53,6.732995
9527,2023-01-02,1672673810.0,1219.52,25.5541226,1219.53,11.732995
9528,2023-01-02,1672673811.0,1219.52,20.4081226,1219.53,15.4097864
9529,2023-01-02,1672673812.0,1219.52,25.4081226,1219.53,14.4097864
9530,2023-01-02,1672673813.0,1219.52,20.4081226,1219.53,14.4097864
9531,2023-01-02,1672673814.0,1219.52,25.4081226,1219.53,14.4097864
9532,2023-01-02,1672673815.0,1219.52,20.4081226,1219.53,14.4097864
9533,2023-01-02,1672673816.0,1219.52,20.4081226,1219.53,14.4097864
9534,2023-01-02,1672673817.0,1219.52,20.4081226,1219.53,14.4097864
9535,2023-01-02,1672673818.0,1219.52,20.4081226,1219.53,14.4097864
9536,2023-01-02,1672673819.0,1219.52,20.4081226,1219.53,12.7697864
9537,2023-01-02,1672673820.0,1219.52,18.3432702,1219.53,15.9682357
9538,2023-01-02,1672673821.0,1219.52,5.3694552,1219.53,14.4097864
9539,2023-01-02,1672673822.0,1219.52,5.3694552,1219.53,15.9682357
9540,2023-01-02,1672673823.0,1219.52,5.3344552,1219.53,15.9682357
9541,2023-01-02,1672673824.0,1219.52,5.3344552,1219.53,12.7697864
9542,2023-01-02,1672673825.0,1219.52,5.3344552,1219.53,15.9682357
9543,2023-01-02,1672673826.0,1219.52,5.3344552,1219.53,15.9682357
9544,2023-01-02,1672673827.0,1219.52,4.4827012,1219.53,15.9682357
9545,2023-01-02,1672673828.0,1219.52,4.4827012,1219.53,15.9682357
9546,2023-01-02,1672673829.0,1219.52,4.4827012,1219.53,14.3282357
9547,2023-01-02,1672673830.0,1219.52,4.4827012,1219.53,15.9674453
9548,2023-01-02,1672673831.0,1219.52,16.8679524,1219.53,14.408996
9549,2023-01-02,1672673832.0,1219.52,16.8679524,1219.53,15.9674453
9550,2023-01-02,1672673833.0,1219.52,16.8679524,1219.53,15.9674453
9551,2023-01-02,1672673834.0,1219.52,16.8679524,1219.53,15.9674453
9552,2023-01-02,1672673835.0,1219.52,18.9328048,1219.53,14.3924704
9553,2023-01-02,1672673836.0,1219.52,18.9328048,1219.53,14.3924704
9554,2023-01-02,1672673837.0,1219.52,16.8679524,1219.53,15.9509197
9555,2023-01-02,1672673838.0,1219.52,18.9328048,1219.53,14.3924704
9556,2023-01-02,1672673839.0,1219.52,18.9328048,1219.53,14.3924704
9557,2023-01-02,1672673840.0,1219.52,16.8679524,1219.53,15.9509197
9558,2023-01-02,1672673841.0,1219.52,16.8679524,1219.53,15.9509197
9559,2023-01-02,1672673842.0,1219.52,16.8679524,1219.53,15.9509197
9560,2023-01-02,1672673843.0,1219.52,21.8679524,1219.53,14.3924704
9561,2023-01-02,1672673844.0,1219.52,23.9328048,1219.53,6.2437464
9562,2023-01-02,1672673845.0,1219.7,0.1819626,1219.71,9.6222892
9563,2023-01-02,1672673846.0,1219.59,24.3815205,1219.6,0.1813629
9564,2023-01-02,1672673847.0,1219.53,14.8292381,1219.54,9.1242793
9565,2023-01-02,1672673848.0,1219.53,14.8292381,1219.54,10.4433727
9566,2023-01-02,1672673849.0,1219.53,14.8292381,1219.54,12.5082251
9567,2023-01-02,1672673850.0,1219.53,14.8292381,1219.54,12.5082251
9568,2023-01-02,1672673851.0,1219.53,14.8292381,1219.54,10.4433727
9569,2023-01-02,1672673852.0,1219.53,14.8292381,1219.54,10.4433727
9570,2023-01-02,1672673853.0,1219.53,14.8292381,1219.54,10.4433727
9571,2023-01-02,1672673854.0,1219.53,14.8292381,1219.54,10.4433727
9572,2023-01-02,1672673855.0,1219.53,18.1695247,1219.54,10.4433727
9573,2023-01-02,1672673856.0,1219.53,18.1695247,1219.54,12.5082251
9574,2023-01-02,1672673857.0,1219.53,18.1695247,1219.54,12.5082251
9575,2023-01-02,1672673858.0,1219.53,18.1695247,1219.54,12.5082251
9576,2023-01-02,1672673859.0,1219.53,18.1695247,1219.54,12.5082251
9577,2023-01-02,1672673860.0,1219.53,18.1695247,1219.54,12.5082251
9578,2023-01-02,1672673861.0,1219.53,18.1695247,1219.54,12.5082251
9579,2023-01-02,1672673862.0,1219.53,5.1641003,1219.54,12.5082251
9580,2023-01-02,1672673863.0,1219.53,1.8238137,1219.54,12.5082251
9581,2023-01-02,1672673864.0,1219.4,15.4155376,1219.41,16.4326969
9582,2023-01-02,1672673865.0,1219.4,18.9347368,1219.41,16.4326969
9583,2023-01-02,1672673866.0,1219.25,14.3911359,1219.26,19.7898011
9584,2023-01-02,1672673867.0,1219.25,1.7048171,1219.26,19.7898011
9585,2023-01-02,1672673868.0,1219.25,1.6180046,1219.26,19.8513617
9586,2023-01-02,1672673869.0,1219.25,1.6180046,1219.26,19.8513617
9587,2023-01-02,1672673870.0,1219.25,1.6180046,1219.26,19.8513617
9588,2023-01-02,1672673871.0,1219.25,1.6180046,1219.26,19.8513617
9589,2023-01-02,1672673872.0,1219.25,1.6180046,1219.26,19.8513617
9590,2023-01-02,1672673873.0,1219.25,1.6180046,1219.26,19.8513617
9591,2023-01-02,1672673874.0,1219.25,1.6180046,1219.26,19.8513617
9592,2023-01-02,1672673875.0,1219.25,4.7424828,1219.26,19.8513617
